Fatal	4	IP initialization failed for vlan <vlan_id>
Warning	11	icmp: Unsolicited Echo Reply from <ip address>
Warning	14	duplicate IP network
Fatal	16	bad ip address <ip address>
Fatal	17	bad mask <mask>/<ip address>
Warning	19	ip address <ip address/prefix> removed from vlan id <vlan id>
Warning	24	<Interface Name> IP initialization failed for <Interface Type> <interface Number>
Warning	27	Failed to allocate interface management entry for <Interface Type> <interface Number>
Warning	28	Failed to <create/delete> tunnel endpoint entry for <Interface Type> <interface Number>
Warning	29	Failed to allocate list of interface numbers for <interfaceType>
Warning	30	Failed to allocate notify event entry for event <eventId> on <interface> <interface number>
Warning	36	Too many CoS rules configured.
Warning	37	Some COS configuration items will not be active.
Warning	38	Vlan <VLAN ID> QoS not configured on all new ports. Some QoS resources exceeded.
Warning	39	Too many QoS features enabled- mask resources exceeded.
Warning	40	QoS initialization failed for TCP/UDP priority.
Warning	41	Too many QoS ranges requested. Some configurations did not succeed.
Warning	43	unable to apply ACL NAME to vlan VLAN ID- failed to add entry <ENTRYID> to port <LPORT>
Warning	44	unable to add ACL entry to vlan VLAN ID- not enough hw resources on port <LPORT>
Warning	45	unable to add port to vlan VLAN ID- not enough hw resources on port <LPORT>
Warning	46	unable to add port to vlan <VLAN ID>- <GVRP> is enabled
Warning	47	unable to add port <LPORT> to trunk- ACL is configured on vlan <VLAN ID>
Warning	48	unable to apply ACL or Policy NAME to port <LPORT>- failed to add entry <ENTRYID>
Warning	49	acl: unable to add port to dynamic trunk- ACL is configured on port <LPORT>
Warning	50	unable to add ACL to port <LPORT>- an ACL or Policy is already configured on this port
Warning	51	unable to modify ACL <LPORT>- ACL is applied.
Warning	52	unable to delete ACL <LPORT>- ACL is applied.
Warning	53	acl: unable to apply <ACL NAME> to vlan <VLANNAME>- failed to add entry <ENTRYID>
Warning	54	acl: unable to apply <ACL NAME> to vlan <VLANNAME>- failed to add entry <ENTRYID>
Warning	58	stp: stp max age should be >= <XXX>
Warning	59	BPDU has MAX_AGE 0 from port <PORT-NUM>
Warning	64	<CRASH REASON STR>
Fatal	65	Boot-up selftest failed
Fatal	70	Fan <status, "ok" or "failure">: Fan: <id> Failures: <number of failures>
Warning	71	Power Supply <status, "ok" or "failure">: Supply: <id>- Failures: <number of failures>
Warning	72	chassis: <slot name> Inactive: Module/Configuration mismatch
Warning	73	Chassis Backplane Power Fault: Chassis needs replacement.
Fatal	75	Out of <BUF TYPE> buffers; miss count: <COUNT VAL>
Warning	82	Can't allocate any msg buffers
Warning	85	unable to renew an expired DHCP lease
Warning	86	Invalid IP address IPADDRESS received for Option 66
Warning	87	Unable to download Config File (using TFTP) with FTNUMRETRIES Retries
Warning	88	Unexpected hostname received in DHCP response
Warning	89	Unable to download Image File (using TFTP) with <FTNUMRETRIES> Retries
Warning	133	Transfer timed out.
Warning	134	SENT error:<ERROR-NUM>- msg: <ERROR-MSG>
Warning	135	Transfer aborted- wrong file
Warning	136	Connection to <REMOVE-ADDR> failed
Warning	137	Request failed.
Warning	140	Transfer canceled. No workspace left on device.
Warning	141	Transfer canceled. Downloaded file corrupt.
Warning	142	Transfer Fatal Error. Hardware fault on device- Corrupt FLASH.
Warning	143	Transfer canceled. File too big to fit in FLASH.
Warning	144	TFTP daemon Disabled successfully
Warning	145	Transfer canceled because the TFTP server failed to handle the TFTP block number rollover.
Warning	151	Aborted. No workspace left in switch DRAM.
Warning	152	Aborted. Downloaded file invalid.
Warning	153	Aborted with Fatal Error. Hardware fault on device- Corrupt FLASH.
Warning	154	Aborted. File too big to fit in storage device.
Warning	155	Aborted- wrong file
Warning	157	Disabled RMON to retrieve memory for download.
Warning	158	line <LINE NUM>. <ERROR STR>
Warning	161	Aborted. Firmware image does not contain a signature.
Warning	162	Aborted. Firmware image signature is not valid.
Warning	164	Aborted. Firmware image does not support enhanced secure mode.
Warning	165	Aborted. System error.
Warning	180	A remote login attempt failed
Warning	181	10 invalid passwords on <CONSOLE|TELNET> session.
Warning	183	password file corrupted - ignoring passwords
Warning	187	Terminal connection broken
Warning	188	Failed Checksum during Transfer.
Warning	189	Transfer terminated by remote
Warning	190	Cannot open local file- transfer aborted
